time,y_value
0.133708,961
0.133708,1080
0.325382,558
0.663077,589
0.714981,580
0.741813,559
0.767624,559
3.585323,352
3.585323,389
3.613878,285
3.613878,796
3.641491,900
3.668109,900
3.694454,749
3.721282,237
3.721282,69
3.721282,297
3.747908,1080
3.747908,92
3.774524,1080
3.774524,1047
3.774524,174
3.803128,1080
3.803128,440
3.803128,165
3.831335,731
3.831335,391
3.859024,719
3.885756,738
3.885756,496
3.911934,501
3.911934,286
3.939454,301
3.965734,265
3.99205,577
3.99205,254
4.018541,548
4.045101,604
4.072492,602
4.099121,548
4.125595,478
4.152314,586
4.152314,466
4.179208,649
4.179208,576
4.206529,648
4.232751,635
4.232751,555
4.259956,560
4.286841,553
4.31331,625
4.31331,538
4.341373,640
4.367555,639
4.39384,605
4.39384,517
4.420742,522
4.448296,605
4.474518,626
4.501835,626
4.52837,617
4.52837,541
4.555357,553
4.581368,581
4.608007,625
4.634251,622
4.660212,623
4.689458,570
4.717631,560
4.745167,618
4.745167,552
4.772472,622
4.798825,623
4.825664,587
4.854164,546
4.880662,609
4.907335,620
4.936501,620
4.962341,600
4.990197,539
5.01659,594
5.042952,617
5.069675,617
5.096597,609
5.123229,555
5.149817,576
5.176821,615
5.230588,613
5.257429,571
5.283975,560
5.310274,609
5.336198,612
5.362132,613
5.389053,585
5.415459,547
5.442393,600
5.468937,610
5.495639,610
5.521703,595
5.549205,546
5.576165,587
5.602462,608
5.63006,608
5.656735,602
5.682504,558
5.708448,575
5.73541,605
5.788933,605
5.814612,572
5.841438,562
5.868825,601
5.896113,604
5.922827,604
5.949682,581
5.975913,550
6.002485,593
6.029513,603
6.055883,603
6.083163,590
6.110407,547
6.13764,583
6.164008,601
6.191019,601
6.217346,596
6.245094,559
6.273065,573
6.300237,599
6.352773,598
6.379264,570
6.40623,562
6.432975,595
6.460049,598
6.486344,598
6.513731,579
6.566751,588
6.592836,597
6.618372,597
6.645097,586
6.671414,551
6.671414,522
6.698128,580
6.724943,595
6.751067,595
6.776475,591
6.802186,560
6.828873,571
6.857029,594
6.909673,593
6.935468,568
6.9631,562
6.988994,591
7.015641,593
7.015641,561
7.041582,593
7.067695,576
7.095064,554
7.095064,529
7.122982,585
7.149193,592
7.175208,592
7.201149,582
7.228564,551
7.228564,520
7.25478,579
7.281376,591
7.307279,591
7.33349,586
7.360782,559
7.388123,571
7.414956,589
7.467234,588
7.494287,567
7.521811,563
7.548002,586
7.574997,589
7.574997,556
7.601828,589
7.628363,574
7.655857,557
7.682152,582
7.709653,588
7.735274,588
7.761474,579
7.814491,577
7.84182,587
7.868659,587
7.895645,582
7.922627,558
7.948646,571
7.97445,586
8.027771,584
8.05519,566
8.082516,564
8.109176,583
8.135986,585
8.163123,585
8.189828,571
8.217108,558
8.244199,580
8.270314,584
8.298193,584
8.324315,575
8.377128,576
8.404012,584
8.431222,584
8.457996,578
8.483711,557
8.509796,571
8.535783,583
8.588772,581
8.61565,564
8.641554,565
8.668122,581
8.720184,582
8.747233,568
8.773447,560
8.800597,578
8.826839,582
8.853442,582
8.878978,573
8.932044,574
8.959647,581
8.986322,581
9.014054,576
9.04057,557
9.067298,571
9.094016,580
9.148237,578
9.174803,562
9.200841,566
9.228161,579
9.281835,579
9.30814,566
9.334934,561
9.361875,577
9.38874,579
9.414923,579
9.441203,570
9.494145,574
9.520372,579
9.546951,579
9.573722,573
9.626871,571
9.654153,578
9.680661,578
9.707219,575
9.733934,560
9.761124,567
9.787217,577
9.839679,576
9.866746,565
9.892833,563
9.920907,575
9.948021,577
9.974064,577
10.001518,568
10.054935,573
10.081171,577
10.107685,577
10.134199,571
10.187779,570
10.214756,576
10.240955,576
10.266269,573
10.29322,560
10.32046,567
10.346076,576
10.398966,574
10.425512,563
10.452119,564
10.479552,574
10.532971,575
10.559901,566
10.612574,572
10.639947,575
10.667268,575
10.69452,569
10.748144,570
10.77482,575
10.801689,575
10.82788,571
10.881199,568
10.908181,574
10.96066,572
10.986662,562
11.012299,564
11.03749,573
11.091437,573
11.118462,564
11.145164,562
11.172448,572
11.224403,574
11.25132,567
11.30344,571
11.329622,574
11.356563,689
11.356563,571
11.384192,879
11.41065,613
11.41065,715
11.43738,870
11.463848,269
11.463848,436
11.490418,275
11.544027,200
11.570915,710
11.570915,194
11.59932,730
11.625788,748
11.652871,748
11.652871,513
11.680324,516
11.680324,348
11.706633,366
11.73261,391
11.759824,599
11.759824,378
11.785711,597
11.813177,530
11.839685,533
11.865334,510
11.890925,574
11.917854,559
11.945349,601
11.972123,601
11.998855,555
12.025822,562
12.051047,593
12.077951,594
12.10547,595
12.131253,589
12.157967,563
12.157967,531
12.183925,578
12.210331,592
12.238335,592
12.265055,591
12.291613,567
12.317582,571
12.344293,590
12.399101,591
12.425942,573
12.454313,565
12.481051,588
12.508353,591
12.534855,591
12.560814,579
12.615553,584
12.641215,590
12.668349,590
12.695562,583
12.722433,559
12.749185,578
12.775547,590
12.802457,590
12.82786,586
12.85302,565
12.878043,572
12.903873,588
12.956472,588
12.982469,572
13.008688,566
13.0361,585
13.062433,588
13.062433,555
13.089088,588
13.114826,577
13.167171,582
13.192415,587
13.218936,587
13.246275,581
13.297887,577
13.323898,586
13.350688,586
13.377579,583
13.403295,565
13.430271,573
13.456837,585
13.509823,584
13.536942,570
13.5633,568
13.589253,583
13.616333,584
13.642671,585
13.669639,574
13.722521,580
13.748053,585
13.774089,585
13.801084,577
13.854632,577
13.880541,584
13.90677,584
13.933513,580
13.959192,564
13.985094,573
14.013284,583
14.066977,582
14.093527,569
14.121602,569
14.148151,582
14.200936,583
14.227563,572
14.280291,579
14.307155,582
14.332923,582
14.359673,576
14.413074,576
14.439563,582
14.46552,582
14.491381,578
14.518194,564
14.545341,573
14.572039,581
14.62499,579
14.650441,568
14.676818,570
14.703585,580
14.757025,580
14.783817,570
14.810382,566
14.836855,578
14.864509,581
14.890193,581
14.917059,573
14.970723,576
14.997812,580
15.024499,580
15.050852,575
15.105166,573
15.13203,580
15.185575,577
15.213053,566
15.239178,570
15.26532,579
15.319487,579
15.346856,569
15.372751,567
15.398994,577
15.452688,579
15.479568,572
15.531694,575
15.558018,579
15.584057,579
15.61043,574
15.664213,573
15.689936,578
15.742862,575
15.795509,571
15.822902,578
15.875646,577
15.902338,568
15.928625,568
15.956398,577
16.010323,577
16.037061,570
16.090598,575
16.143189,578
16.170274,572
16.223721,573
16.250594,578
16.277263,578
16.304571,574
16.358856,571
16.385139,577
16.437485,575
16.464578,567
16.491063,569
16.517525,576
16.570222,576
16.596546,569
16.648594,575
16.701522,576
16.727619,571
16.780945,573
16.835747,576
16.861488,573
16.913043,572
16.939308,576
16.992471,574
17.046502,570
17.073365,576
17.125794,575
17.152233,568
17.205071,574
17.256519,575
17.283774,569
17.335865,574
17.388931,575
17.414693,571
17.467471,572
17.547478,572
17.599058,571
17.626425,575
17.67945,574
17.731996,569
17.758872,574
17.811374,574
17.838959,569
17.891483,573
17.945125,574
17.971559,570
18.023798,572
18.103529,571
18.15624,571
18.235341,572
18.288891,569
18.316332,574
18.368226,573
18.447303,573
18.500646,574
18.580121,572
18.658422,570
18.710917,571
18.790906,571
18.870815,574
18.923872,572
19.003459,573
19.057609,573
19.136006,572
19.267765,752
19.294715,933
19.294715,614
19.322448,933
19.322448,792
19.349882,844
19.349882,199
19.376916,282
19.376916,171
19.376916,401
19.376916,203
19.40422,1080
19.40422,207
19.431325,1080
19.431325,54
19.458303,1080
19.458303,1025
19.458303,389
19.458303,47
19.48631,963
19.48631,753
19.48631,323
19.513447,796
19.540097,796
19.540097,593
19.56727,593
19.56727,390
19.594617,399
19.621206,242
19.648117,516
19.648117,192
19.67419,552
19.700964,596
19.727782,626
19.754801,624
19.754801,470
19.781605,357
19.808027,577
19.834581,654
19.834581,564
19.862551,661
19.889291,661
19.889291,591
19.914774,601
19.914774,503
19.941349,553
19.968703,642
19.968703,542
19.995805,654
20.022735,654
20.04861,626
20.04861,533
20.074593,540
20.10096,620
20.127345,649
20.153923,649
20.180047,637
20.180047,555
20.20647,565
20.232505,593
20.259328,646
20.259328,582
20.312593,644
20.312593,575
20.339758,586
20.365555,571
20.392112,639
20.392112,560
20.418547,643
20.444274,643
20.471032,605
20.497293,552
20.523929,626
20.523929,540
20.550609,640
20.577103,640
20.603641,620
20.603641,540
20.629757,550
20.655773,608
20.681618,637
20.707959,637
20.734204,630
20.734204,559
20.760888,570
20.788651,589
20.815513,634
20.815513,574
20.841421,512
20.868118,633
20.895877,589
20.922569,570
20.948237,626
20.974886,632
21.001187,632
21.027305,604
21.080328,615
21.108363,629
21.1341,630
21.160553,615
21.186874,558
21.213514,600
21.239692,626
21.265548,626
21.29146,622
21.318503,575
21.345255,585
21.371939,624
21.399041,583
21.425857,624
21.452518,588
21.479739,571
21.505782,617
21.532758,622
21.559781,622
21.588086,600
21.640196,608
21.666238,620
21.692564,620
21.719831,609
21.74691,562
21.772925,596
