time,y_value
0.145366,1019
0.145366,1080
3.473693,858
3.499614,1080
3.499614,902
3.54157,1080
3.54157,1080
3.568456,1080
3.594574,579
3.594574,399
3.621881,768
3.648872,803
3.648872,627
3.674553,802
3.674553,543
3.674553,555
3.705843,1080
3.705843,561
3.705843,176
3.705843,350
3.73248,1080
3.73248,1080
3.73248,100
3.759506,1054
3.759506,753
3.759506,106
3.787085,727
3.787085,778
3.787085,393
3.813797,678
3.813797,540
3.83968,724
3.83968,566
3.866854,270
3.893099,103
3.920501,441
3.920501,244
3.946845,670
3.972709,669
3.999023,661
3.999023,492
4.024891,496
4.024891,472
4.024891,277
4.077681,563
4.077681,325
4.104098,640
4.130567,638
4.157138,608
4.157138,455
4.182771,453
4.182771,305
4.209986,365
4.209986,290
4.235771,525
4.235771,351
4.262495,587
4.288665,585
4.315045,540
4.340852,439
4.367153,447
4.393459,534
4.393459,438
4.419584,563
4.445815,562
4.471969,507
4.471969,406
4.52331,524
4.52331,415
4.54959,551
4.576513,552
4.603539,536
4.629445,457
4.656179,486
4.683117,545
4.733976,542
4.760445,486
4.786071,460
4.811799,530
4.837014,539
4.863965,539
4.889495,509
4.914342,402
4.939814,509
4.965704,533
4.990341,533
5.015831,522
5.041337,462
5.068067,484
5.094336,527
5.146513,526
5.17266,483
5.19905,463
5.224254,516
5.250161,522
5.27664,522
5.303041,498
5.355539,501
5.382123,518
5.408632,518
5.435401,507
5.461346,458
5.487398,486
5.513568,514
5.540066,513
5.566838,511
5.593286,472
5.620142,472
5.646423,508
5.67354,510
5.700062,510
5.725207,485
5.751599,459
5.777278,500
5.804076,508
5.830697,508
5.857612,495
5.883572,453
5.909773,490
5.936047,506
5.962334,506
5.987923,500
6.013207,466
6.039144,478
6.064314,503
6.116232,502
6.142251,477
6.169043,467
6.194747,497
6.221306,501
6.246666,501
6.272617,485
6.323764,490
6.35011,499
6.392432,499
6.419438,491
6.445161,460
6.471305,482
6.497748,496
6.523274,496
6.523274,472
6.549395,494
6.575492,468
6.602212,474
6.627855,494
6.679333,494
6.705506,476
6.731653,466
6.75733,490
6.783096,493
6.783096,468
6.808052,493
6.834306,482
6.887044,485
6.912719,492
6.938361,492
6.964735,486
6.990613,436
7.01654,479
7.042398,490
7.093634,488
7.13101,469
7.16479,473
7.205586,488
7.256704,488
7.282727,474
7.3092,468
7.335329,486
7.361718,488
7.361718,463
7.387253,488
7.412826,479
7.464086,482
7.49282,487
7.519398,487
7.519398,463
7.544743,482
7.596081,478
7.622288,486
7.674129,483
7.69984,469
7.725051,473
7.750466,484
7.803222,484
7.828682,472
7.854399,470
