x_value,y_value
0.179162,981
0.205468,886
0.231822,706
0.258025,528
0.284476,389
0.310835,389
0.337339,520
1.831157,597
1.935081,632
2.813415,569
2.839496,548
2.864427,526
2.890399,502
2.916244,478
2.942459,452
2.968533,426
2.994849,407
3.021322,394
3.125591,398
3.15251,412
5.395523,460
5.577987,482
5.604133,466
5.629987,448
5.762236,446
5.788489,463
5.823865,482
5.954048,483
5.980066,463
6.005811,442
6.032015,429
6.138432,439
6.163776,459
6.190288,475
6.216972,490
6.243401,508
6.269201,527
6.347462,535
6.374072,518
6.399301,494
6.425345,470
6.45108,449
6.554744,445
6.58111,459
6.606622,475
6.631874,497
6.657508,520
6.68299,543
6.735267,545
6.761626,523
6.788618,495
6.814865,469
6.840338,438
6.866166,416
6.968688,411
6.994689,427
7.020907,459
7.04747,493
7.074821,519
7.10073,531
7.126826,545
7.205291,526
7.231516,495
7.257357,459
7.283615,429
7.309981,416
7.388573,415
7.413901,430
7.43993,460
7.46707,495
7.49275,526
7.519756,548
7.597913,555
7.624153,532
7.649304,500
7.675174,472
7.700729,441
7.727278,424
7.806623,426
7.831971,438
7.858561,468
7.884604,510
7.910689,542
7.936782,563
8.041977,535
8.067441,498
8.094289,454
8.12036,414
8.146241,401
8.198013,404
8.22442,418
8.249651,448
8.276053,490
8.302758,531
8.32962,563
8.431524,558
8.457245,523
8.482725,484
8.508487,442
8.534223,409
8.559748,398
8.586282,398
8.612964,405
8.639561,439
8.666068,479
8.692023,523
8.719115,566
8.797765,580
8.824574,544
8.851147,507
8.877135,478
8.902527,449
8.929026,429
8.981985,428
9.008426,442
9.034056,478
9.060355,529
9.086433,566
9.114182,595
9.141362,624
9.219007,590
9.244713,540
9.270755,482
9.297205,422
9.323993,386
9.3496,378
9.37535,378
9.401864,386
9.427914,415
9.455659,457
9.482372,510
9.509024,557
9.612128,558
9.639037,521
9.664926,477
9.690833,432
9.717171,396
9.743073,374
9.821164,361
9.847577,371
9.874139,419
9.899718,508
9.925432,578
9.952443,611
10.031397,594
10.057394,554
10.083301,502
10.109352,444
10.135268,396
10.161075,362
10.188736,348
10.268272,352
10.294784,376
10.321298,433
10.347716,488
10.373821,533
10.399838,562
10.425492,586
10.451217,608
10.528738,575
10.55458,530
10.581446,469
10.608396,395
10.634812,336
10.661479,302
10.739703,293
10.766395,314
10.792885,360
10.818919,409
10.845985,463
10.871854,525
10.897394,569
10.924197,596
11.003908,584
11.030368,544
11.057209,492
11.083754,433
11.11007,392
11.135643,371
11.239846,369
11.266265,397
11.291968,460
11.318775,535
11.36046,580
11.386603,616
11.467364,628
11.493925,587
11.520215,541
11.547341,488
11.573919,433
11.600123,393
11.62629,369
11.705075,363
11.732632,387
11.759142,438
11.785724,502
11.811953,555
11.838967,595
11.916317,592
11.942567,548
11.970513,492
11.996327,427
12.02183,373
12.047882,339
12.073102,323
12.125338,323
12.151111,343
12.177216,386
12.203933,436
12.231306,495
12.258274,556
12.284617,598
12.337278,591
12.364093,555
12.390438,505
12.416723,445
12.442515,394
12.468666,367
12.547964,367
12.574414,380
12.600799,408
12.627357,451
12.653578,511
12.679533,556
12.782246,562
12.807594,524
12.833134,471
12.858722,423
12.884968,398
12.964143,391
12.991057,407
13.01722,441
13.043763,492
13.070842,555
13.097717,609
13.149987,585
13.175093,535
13.200773,475
13.226524,391
13.253433,325
13.280087,306
13.356646,311
13.382793,331
13.408793,368
13.434638,436
13.461629,525
13.487826,584
13.5147,629
13.59278,606
13.619605,537
13.646094,457
13.671188,419
13.723745,414
13.750531,436
13.776042,502
13.853195,524
13.879553,461
13.904821,421
13.931333,401
13.983532,398
14.010089,408
14.03637,446
14.062211,525
14.089161,588
14.141401,599
14.169059,541
14.195471,467
14.221098,411
14.247483,380
14.299429,372
14.326157,379
14.352688,424
14.378496,518
14.43085,577
14.457291,516
14.483527,440
14.509093,381
14.535166,346
14.586224,343
14.613328,483
14.613328,368
14.640941,445
14.666508,562
14.692205,556
14.718057,485
14.744239,408
14.771053,369
14.823192,367
14.850395,401
14.87718,501
14.92833,509
14.954112,444
14.980868,404
15.008343,393
15.061718,396
15.089521,417
15.114864,479
15.165982,496
15.192442,405
15.21854,347
15.244404,341
15.270862,341
15.297337,370
15.323956,475
15.350385,552
15.37773,497
15.403282,417
15.429322,361
15.455787,352
15.481646,352
15.509235,493
15.509235,371
15.534769,457
15.560889,551
15.585829,489
15.612032,393
15.638654,320
15.66499,294
15.717621,297
15.744565,348
15.769861,471
15.795877,564
15.822163,567
15.848446,490
15.875105,416
15.901172,374
15.952291,367
15.977322,482
15.977322,382
16.002999,446
16.028264,555
16.079946,589
16.106247,518
16.132774,439
16.159567,373
16.185964,350
16.211734,350
16.23803,462
16.23803,357
16.264319,419
16.289535,548
16.317309,580
16.343255,518
16.370345,415
16.397276,335
16.423007,294
16.475161,291
