time,y_value
0.145083,196
0.145083,195
0.145083,448
0.145083,448
0.145083,732
4.092042,348
4.092042,116
4.119379,824
4.146316,181
4.146316,179
4.146316,163
4.146316,876
4.146316,396
4.17376,874
4.201501,221
4.201501,765
4.201501,254
4.228715,158
4.228715,98
4.256364,102
4.256364,280
4.256364,116
4.283727,181
4.283727,348
4.310187,121
4.338044,211
4.338044,245
4.364235,222
4.364235,105
4.391755,189
4.391755,90
4.419677,240
4.419677,249
4.446894,118
4.472751,358
4.49898,150
4.553457,257
4.553457,164
4.5815,309
4.608038,270
4.635709,201
4.635709,181
4.662783,113
4.662783,79
4.690119,242
4.690119,94
4.716833,361
4.743804,102
4.743804,100
4.770698,175
4.770698,202
4.798534,175
4.798534,80
4.82487,179
4.82487,74
4.851121,192
4.851121,206
4.8774,100
4.8774,86
4.904108,301
4.931366,182
4.931366,112
4.957823,54
4.957823,51
4.984011,204
4.984011,144
5.011336,248
5.037639,231
5.065054,172
5.065054,140
5.091561,82
5.091561,64
5.11915,195
5.11915,85
5.145277,285
5.171167,92
5.171167,103
5.197987,153
5.197987,159
5.224754,142
5.224754,62
5.249655,151
5.249655,61
5.275241,149
5.275241,174
5.30116,80
5.30116,68
5.327791,258
5.354737,153
5.354737,81
5.381094,80
5.381094,54
5.408124,166
5.408124,129
5.434523,195
5.461786,209
5.488298,148
5.488298,107
5.515445,48
5.515445,52
5.541666,165
5.541666,88
5.568606,223
5.594744,165
5.621349,139
5.621349,122
5.647289,154
5.674794,143
5.674794,57
5.701284,243
5.727824,75
5.754568,231
5.781137,126
5.781137,56
5.808386,155
5.834981,134
5.834981,124
5.861304,152
5.88734,199
5.913819,131
5.913819,78
5.939893,53
5.939893,43
5.966918,140
5.966918,95
5.993198,177
6.019934,165
6.045969,125
6.045969,95
6.072735,115
6.098507,133
6.098507,65
6.125383,196
6.152399,134
6.179206,115
6.179206,114
6.205948,141
6.232068,156
6.258016,207
6.310095,191
6.336623,112
6.336623,55
6.363166,119
6.390346,117
6.390346,100
6.415794,139
6.441729,164
6.467811,114
6.467811,73
6.519517,119
6.519517,76
6.545758,157
6.571256,137
6.597819,108
6.597819,86
6.624871,107
6.651034,111
6.651034,57
6.678465,170
6.705572,114
6.730996,98
6.730996,103
6.757959,127
6.784329,132
6.811438,178
6.837565,109
6.86462,162
6.890858,143
6.918221,106
6.945676,104
6.945676,85
6.972449,126
6.999316,139
7.025938,99
7.025938,68
7.07758,104
7.07758,68
7.103806,139
7.129959,119
7.15689,96
7.15689,78
7.182684,99
7.208966,137
7.235306,151
7.261706,103
7.289894,155
7.315444,115
7.341733,118
7.36805,156
7.395834,99
7.422454,143
7.448816,129
7.475083,96
7.501524,93
7.501524,77
7.527009,113
7.554109,125
7.579906,139
7.633261,92
7.633261,64
7.659171,124
7.686478,110
7.713721,86
7.713721,73
7.740592,91
7.766599,126
7.793824,134
7.82122,95
7.847285,138
7.873039,105
7.899975,109
7.925694,138
7.9522,91
7.979176,129
8.005346,116
8.031624,95
8.058332,135
8.08468,103
8.11137,117
8.137842,124
8.191358,128
8.217654,113
8.245304,103
8.273228,127
8.298415,85
8.324963,116
8.35224,121
8.378825,92
8.405152,126
8.431767,96
8.458541,102
8.485128,124
8.512988,44
8.54043,119
8.56704,106
8.593587,88
8.619543,123
8.646541,95
8.673791,108
8.699952,113
8.727006,44
8.727006,36
8.753967,118
8.780476,102
8.806885,98
8.833055,116
8.859022,77
8.885296,109
8.911923,109
8.938195,88
8.965152,115
8.991093,87
9.016941,97
9.042757,113
9.094912,110
9.122244,95
9.148944,86
9.176033,114
9.202371,88
9.22989,103
9.256057,103
9.282044,76
9.308507,109
9.334561,94
9.360122,94
9.386843,107
9.412926,39
9.438935,104
9.465032,100
9.49089,85
9.517966,106
9.544407,81
9.570589,95
9.597415,104
9.650229,104
9.676294,88
9.704406,86
9.73064,105
9.757687,50
9.757687,43
9.784201,98
9.810624,95
9.835959,77
9.862874,103
9.889935,87
9.91632,92
9.942945,98
9.996818,98
10.023538,92
10.049494,84
10.076043,99
10.103643,76
10.130352,91
10.156034,96
10.208962,98
10.235256,83
10.262319,85
10.289126,98
10.342381,95
10.367911,88
10.394697,77
10.421512,97
10.447868,81
10.474741,89
10.501717,91
10.556303,94
10.581991,85
10.609519,82
10.636832,93
10.689534,89
10.71616,90
10.742786,76
10.768672,92
10.795336,77
10.822698,84
10.849249,91
10.902539,91
10.929737,82
10.956809,78
10.983076,92
11.035048,87
11.060762,86
11.088345,71
11.114001,90
11.141081,79
11.166841,82
11.192692,87
11.246289,640
11.273065,234
11.273065,850
11.273065,145
11.299556,821
11.326854,234
11.326854,131
11.326854,228
11.326854,841
11.326854,132
11.354837,147
11.354837,144
11.354837,319
11.381731,72
11.381731,55
11.409124,266
11.409124,200
11.436389,318
11.463228,300
11.489706,220
11.489706,178
11.516789,99
11.516789,81
11.543731,257
11.543731,105
11.570086,370
11.597461,110
11.597461,117
11.623281,190
11.623281,202
11.651099,188
11.651099,81
11.678425,203
11.678425,78
11.705925,191
11.705925,235
11.732741,93
11.732741,69
11.759285,324
11.785886,190
11.785886,107
11.812329,79
11.812329,66
11.838686,216
11.838686,161
11.865623,250
11.89224,253
11.919706,183
11.919706,139
11.94681,64
11.94681,65
11.973464,208
11.973464,101
11.999996,290
12.026269,100
12.026269,128
12.053344,166
12.053344,162
12.081479,147
12.081479,64
12.106959,174
12.106959,65
12.13314,318
12.186719,277
12.214502,158
12.214502,78
12.240961,101
12.240961,60
12.266522,173
12.266522,143
12.292455,195
12.318234,223
12.344559,157
12.344559,106
12.371673,49
12.397502,171
12.397502,99
12.423766,229
12.450544,175
12.476812,145
12.476812,124
12.502135,155
12.528821,153
12.528821,61
12.554687,250
12.580265,78
12.580265,56
12.607456,123
12.607456,144
12.634352,129
12.634352,57
12.661677,164
12.688605,138
12.688605,134
12.715304,80
12.715304,93
12.742206,209
12.770536,135
12.770536,77
12.798018,58
12.798018,46
12.824753,144
12.824753,101
12.852326,178
12.879139,171
12.905758,129
12.905758,96
12.932757,65
12.932757,49
12.95993,139
12.95993,71
12.987228,200
13.013747,140
13.040055,118
13.040055,115
13.067181,142
13.093832,165
13.121046,214
13.174471,199
13.201661,114
13.201661,57
13.228146,127
13.255098,121
13.255098,102
13.282899,141
13.310348,170
13.335815,117
13.335815,74
13.388223,124
13.388223,79
13.415663,160
13.442389,142
13.468161,111
13.468161,88
13.495541,108
13.522789,116
13.522789,58
13.549784,177
13.57577,119
13.601969,102
13.601969,107
13.629968,131
13.656642,137
13.683477,185
13.708459,71
13.708459,65
13.734995,169
13.76167,148
13.788366,109
13.815223,107
13.815223,88
13.841828,127
13.868704,145
13.894069,102
13.894069,69
13.961904,107
13.961904,69
13.991923,144
14.018008,124
14.044448,98
14.044448,80
14.071382,101
14.097559,143
14.124057,155
14.150575,106
14.177407,160
14.204206,118
14.231368,121
14.258163,161
14.284523,101
14.312362,146
14.339021,132
14.364728,99
14.391567,95
14.391567,78
14.426174,116
14.453202,129
14.480387,143
14.533047,95
14.533047,65
14.55981,130
14.588233,113
14.615159,89
14.615159,74
14.642341,94
14.668668,128
14.694151,139
14.722314,97
14.748146,143
14.77402,107
14.799893,109
14.825562,143
14.852262,94
14.880044,131
14.906313,119
14.932543,92
14.959466,141
14.986906,106
15.014155,117
15.041906,128
15.094378,131
15.120355,116
15.14644,104
15.174064,130
15.201832,87
15.229934,118
15.263464,123
15.304103,92
15.332476,130
15.359673,97
15.386176,103
15.413437,127
15.44062,54
15.44062,49
15.467608,120
15.511084,107
15.539113,89
15.565489,127
15.592638,96
15.619684,109
15.646727,114
15.698866,120
15.725437,105
15.751746,98
15.788388,119
15.815469,81
15.846025,110
15.8728,111
15.899746,88
15.926436,119
15.953978,90
15.980606,99
16.007372,116
16.060444,113
16.086941,98
16.115943,86
16.142837,117
16.179435,89
16.206525,104
16.233528,104
16.260393,44
16.260393,40
16.286797,111
16.313212,96
16.340326,94
16.367322,109
16.393307,74
16.421306,105
16.447234,102
16.474184,86
16.500553,109
16.527317,83
16.554278,95
16.581025,106
16.633462,105
16.659886,91
16.685428,86
16.712039,108
16.738616,52
16.738616,50
16.764486,99
16.800581,97
16.844705,76
16.872049,105
16.899576,90
16.926238,91
16.953826,99
17.007212,99
17.045368,94
17.071563,84
17.098599,101
17.125587,78
17.151691,91
17.178881,98
17.232502,99
17.259196,84
17.286266,85
17.312311,100
17.367134,95
17.392846,89
17.418818,78
17.445029,98
17.472082,83
17.499615,88
17.525395,93
17.57827,94
17.605044,87
17.631292,82
17.6575,95
17.683322,73
17.710021,90
17.736589,92
17.763489,77
17.790214,95
17.817085,78
17.843419,83
17.870592,93
17.922763,92
17.947949,83
17.975327,77
18.00157,93
18.053247,87
18.079498,88
18.133235,90
18.16036,81
18.186179,82
18.211755,89
18.265,87
18.290858,85
18.318482,76
18.345264,88
18.372697,74
18.399108,83
18.425589,87
18.480151,87
18.507262,78
18.533731,77
18.560231,87
18.614204,84
18.641192,82
18.693784,87
18.719867,76
18.74675,80
18.773537,83
18.826746,84
18.853817,80
18.881244,77
18.90739,84
18.933763,69
18.96137,81
18.988916,82
19.04366,84
19.070908,73
19.096722,77
19.123362,84
19.175635,82
19.201712,77
19.228806,73
19.255726,83
19.309409,79
19.3358,80
19.38884,82
19.415611,76
19.441457,76
19.46929,80
19.523652,80
19.550583,78
19.603479,82
19.630499,663
19.630499,185
19.630499,71
19.657979,183
19.657979,655
19.657979,132
19.684464,124
19.684464,599
19.684464,132
19.711523,163
19.711523,202
19.711523,446
19.711523,173
19.711523,74
19.738942,187
19.738942,95
19.765879,136
19.765879,76
19.792678,212
19.792678,198
19.820558,105
19.820558,153
19.847932,286
19.87435,189
19.87435,132
19.901982,64
19.927877,221
19.927877,122
19.955496,278
19.982724,220
20.010433,174
20.010433,157
20.037038,123
20.037038,66
20.064035,195
20.064035,72
20.090451,313
20.117363,86
20.117363,61
20.143749,149
20.143749,177
20.17077,154
20.17077,68
20.198769,142
20.198769,62
20.225029,170
20.225029,169
20.251022,92
20.251022,105
20.277704,256
20.304815,161
20.304815,99
20.331739,51
20.331739,47
20.358089,179
20.358089,121
20.384907,221
20.412115,201
20.439706,154
20.439706,121
20.465677,78
20.465677,56
20.492934,168
20.492934,77
20.52056,248
20.547331,83
20.547331,98
20.574261,138
20.574261,139
20.600566,176
20.62781,192
20.655295,132
20.655295,155
20.684934,74
20.684934,65
20.71115,230
20.738351,136
20.738351,71
20.765293,84
20.765293,50
20.791956,147
20.791956,117
20.819257,172
20.845692,189
20.872971,135
20.872971,92
20.899792,46
20.92776,147
20.92776,84
20.954897,197
20.981794,154
21.011755,126
21.011755,107
21.039082,134
21.066059,134
21.066059,56
21.092701,213
21.119255,76
21.119255,64
21.14406,111
21.14406,127
21.171691,159
21.198223,144
21.224543,118
21.224543,120
21.251949,133
21.277989,186
21.305188,118
21.305188,66
21.331162,110
21.357841,126
21.357841,91
21.384911,153
21.412314,154
21.439225,115
21.439225,84
21.466509,98
21.492325,122
21.492325,66
21.520091,173
21.546825,129
21.572785,107
21.572785,99
21.601374,124
21.627756,151
21.654095,185
21.724216,179
21.749911,142
21.775972,123
21.802547,106
21.802547,101
21.829431,122
21.856244,157
21.882788,103
21.882788,64
21.909719,95
21.935651,109
21.935651,79
21.961599,139
21.987114,134
22.014078,102
22.014078,77
22.041235,94
22.068128,106
22.068128,61
22.095948,152
22.123591,113
22.150563,95
22.150563,90
22.177658,112
22.203169,132
22.229629,161
22.283341,155
22.310546,127
22.337843,110
22.364357,95
22.364357,87
22.391833,113
22.418819,137
22.445293,91
22.445293,61
22.471019,87
22.497397,97
22.497397,71
22.525583,124
22.552564,119
22.580363,91
22.580363,70
22.607285,88
22.633854,137
