,x_value,y_value,peak_num,time_gap,frequencies(HZ)
3,0.122434,429,1,,
5,0.148783,400,1,0.026348999999999997,37.952104444191434
7,0.174985,447,1,0.026202000000000003,38.16502557056713
9,0.202607,428,1,0.027622000000000008,36.203026573021496
11,0.229778,402,1,0.027171,36.80394538294505
13,0.256786,446,1,0.027008000000000004,37.02606635071089
15,0.282802,433,1,0.026015999999999984,38.43788437884381
18,0.334391,442,1,0.051588999999999996,19.383977204442807
20,0.361086,426,1,0.026695000000000024,37.46019853905222
23,0.414186,444,1,0.05309999999999998,18.832391713747654
25,0.441392,430,1,0.027206000000000008,36.75659780930676
28,0.493326,442,1,0.05193399999999998,19.25520853390843
30,0.519157,428,1,0.025830999999999993,38.713174093143905
33,0.572347,440,1,0.05319000000000007,18.800526414739586
35,0.599262,431,1,0.02691499999999991,37.154003343860424
38,0.651232,442,1,0.05197000000000007,19.241870309794084
40,0.677587,429,1,0.026355000000000017,37.94346423828493
43,0.728972,441,1,0.0513849999999999,19.460932178651394
45,0.754937,428,1,0.025965000000000016,38.51338340073173
49,0.834248,429,1,0.07931100000000002,12.608591494244175
53,0.913388,429,1,0.07913999999999999,12.63583522870862
55,0.939032,405,1,0.025644,38.99547652472313
57,0.96531,441,1,0.026278000000000024,38.05464647233424
59,0.99159,429,1,0.02627999999999997,38.05175038051755
61,1.017008,407,1,0.02541799999999994,39.34219844204903
63,1.043765,440,1,0.026757000000000142,37.37339761557703
65,1.069793,427,1,0.02602799999999994,38.42016290149079
68,1.121001,440,1,0.05120799999999992,19.528198718950193
70,1.146882,427,1,0.025881000000000043,38.63838337003973
73,1.200456,440,1,0.05357400000000001,18.6657707096726
75,1.226873,427,1,0.026417000000000135,37.854411931710445
78,1.279831,441,1,0.05295799999999984,18.882888326598493
80,1.306481,429,1,0.026650000000000063,37.52345215759841
84,1.384941,432,1,0.07845999999999997,12.745347947998985
87,1.437879,442,1,0.05293799999999993,18.890022290226327
89,1.464782,431,1,0.02690300000000012,37.17057577221854
92,1.517133,440,1,0.052351000000000036,19.101831865675905
94,1.543737,429,1,0.02660399999999985,37.588332581566895
97,1.597509,442,1,0.05377200000000015,18.597039351335216
99,1.624907,431,1,0.027398000000000033,36.49901452660774
102,1.677645,439,1,0.05273799999999995,18.961659524441597
104,1.704175,430,1,0.026529999999999943,37.69317753486627
107,1.75749,437,1,0.053315,18.756447528838038
109,1.785006,431,1,0.027516000000000096,36.34249164122679
112,1.835767,439,1,0.050760999999999834,19.700163511357207
114,1.861427,430,1,0.025660000000000016,38.97116134060793
117,1.913556,438,1,0.05212900000000009,19.18318018761147
119,1.939957,431,1,0.026400999999999897,37.877353130563385
122,1.994909,438,1,0.05495200000000011,18.197699810743885
124,2.02138,430,1,0.026471000000000133,37.777190132597745
126,2.048781,408,1,0.027400999999999787,36.49501842998459
128,2.075173,440,1,0.02639199999999997,37.890269778720864
130,2.102064,430,1,0.026890999999999998,37.18716299133539
133,2.153997,439,1,0.05193300000000001,19.25557930410336
135,2.17974,431,1,0.02574299999999985,38.84551140115782
137,2.205718,412,1,0.02597800000000028,38.494110401108216
139,2.232293,440,1,0.026574999999999793,37.62935089369738
